match_duration, first_dragon, first_baron, first_inhibitor, first_rift_herald, first_blood, bteam_baron_kills, bteam_dragon_kills, bteam_inhibitor_kills, bteam_rift_kills, bteam_tower_kills,bteam_largest_killing_spree, bteam_largest_multi_kill, bteam_highest_champ_lvl, bteam_best_kda, bteam_total_kills, bteam_total_assists, bteam_total_gold_earned, bteam_total_gold_spent, bteam_vision_score, bteam_wards_placed, bteam_wards_killed, bteam_total_minions_killed, bteam_total_dmg_dealt, bteam_total_dmg_dealt_to_champions, bteam_total_dmg_taken, bteam_total_dmg_healed, bteam_total_dmg_self_mitigated, bteam_total_crowd_control_dealt, rteam_baron_kills, rteam_dragon_kills, rteam_inhibitor_kills, rteam_rift_kills, rteam_tower_kills, rteam_largest_killing_spree, rteam_largest_multi_kill, rteam_highest_champ_lvl, rteam_best_kda, rteam_total_kills, rteam_total_assists, rteam_total_gold_earned, rteam_total_gold_spent, rteam_vision_score, rteam_wards_placed, rteam_wards_killed, rteam_total_minions_killed, rteam_total_dmg_dealt, rteam_total_dmg_dealt_to_champions, rteam_total_dmg_taken, rteam_total_dmg_healed, rteam_total_dmg_self_mitigated, rteam_total_crowd_control_dealt, winning_team
1417,0,0,0,1,0,1,3,1,1,8,7,2,14,13.0,23,36,46538,39025,143,65,37,572,448908,51462,69181,22384,56266,1337,0,1,0,1,3,2,1,13,1.3333333333333333,7,10,39408,36228,147,73,25,589,461569,43744,68753,11136,43574,995,0
1426,1,1,1,1,1,0,1,0,0,2,3,2,14,2.4,26,29,46957,44525,111,47,13,527,438397,55826,88800,19884,51734,715,1,3,2,1,8,7,2,16,4.666666666666667,33,40,55285,55435,127,46,15,608,593556,73188,87302,34423,41111,1059,1
2153,0,0,0,0,1,2,2,3,1,10,5,2,18,4.166666666666667,39,51,75538,65073,206,95,36,786,922794,144693,153767,63895,140946,668,0,3,0,0,3,7,2,17,3.6,32,54,66093,63875,259,109,47,838,822860,119283,177188,57256,115872,1005,0
1817,0,0,1,0,1,1,4,1,2,7,5,2,16,5.333333333333333,23,50,56125,46885,189,84,32,604,584718,74419,102785,28942,71476,1699,0,0,1,0,4,6,2,15,6.5,19,37,48590,44675,204,83,38,570,487956,75249,92624,18647,80401,928,0
1406,1,1,1,0,1,0,0,0,1,1,6,2,13,6.0,19,29,40161,37675,133,58,22,468,381641,56675,96861,19434,66013,922,1,4,0,1,5,10,2,15,20.0,28,46,46513,38675,130,55,18,508,480715,77273,84020,33429,55433,609,1
1181,1,1,1,1,1,0,0,0,0,1,2,1,13,1.0,7,6,31638,30160,79,46,8,477,319367,34777,69833,13362,38455,589,0,2,0,1,4,6,2,13,12.0,24,22,41435,35550,104,48,19,533,407779,54697,56159,17093,47703,675,1
1826,1,1,1,0,1,0,0,0,1,3,5,2,15,3.6,26,43,57581,55285,172,88,21,582,538132,89039,123260,34285,109468,1470,2,4,2,1,10,8,2,16,5.4,34,73,63457,56075,205,85,30,642,644788,104069,122827,50935,109954,875,1
967,1,1,1,1,1,0,0,0,0,0,0,1,10,1.5,9,14,25822,23975,57,30,3,333,204045,33959,54617,12915,26957,392,0,1,0,1,3,9,2,11,8.0,24,32,34842,32325,72,34,9,365,256432,41966,50347,16739,29285,1060,1
1852,0,0,0,1,1,2,3,1,0,9,6,3,18,14.0,23,34,62773,56060,191,76,31,763,725202,61422,96204,33857,81192,1137,0,1,0,2,3,4,2,17,3.5,19,32,57470,53235,168,79,30,753,672682,59428,85577,21350,64387,1106,0
1723,1,1,1,1,1,0,0,0,1,4,2,2,14,2.25,20,31,47319,45100,168,86,24,587,504392,86299,95204,13130,80277,1041,1,4,2,1,9,9,3,17,17.0,32,51,60507,53800,191,73,36,666,638998,81889,115572,35051,91667,1164,1
